,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
258,"I want to book a restaurant in Wallsburg , Missouri for michele, diann and pam",,,Wallsburg,,,restaurant,,,,"michele, diann and pam",,,Missouri,
259,Book a table at a brasserie  far from my Livonia Av .,,far,,,,brasserie,,,,,,Livonia Av,,
260,Where can I book a table close to me in Moon Run at sixteen o'clock that will take three people,,close,Moon Run,sixteen o'clock,,,,,,,,,,three
261,I'd like a table for my step grandfather and I at Five Fifty-Five in NV,,,,,,,Five Fifty-Five,,,my step grandfather and I,,,NV,
262,pizzeria restaurant in Kellnersville  HI that is outdoor for ten,,,Kellnersville,,,pizzeria restaurant,,,,,outdoor,,HI,ten
263,I need a reservation for ten at a tavern in West Virginia,,,,,,tavern,,,,,,,West Virginia,ten
264,book a delicatessen that is indoor for 3,,,,,,delicatessen,,,,,indoor,,,3
265,I'd like to eat at a restaurant  around  China with a party of 7 anywhere that serves ouzeri,,around,,,China,restaurant,,,ouzeri,,,,,7
266,Book a table for 10 people at a restaurant which offers internet .,,,,,,restaurant,,,,,internet,,,10
267,book a spot for 6 at a gateau  restaurant,gateau,,,,,restaurant,,,,,,,,6
268,book a spot for nine  near  Togo,,near,,,Togo,,,,,,,,,nine
269,I need a reservation for an indoor  restaurant in China,,,,,China,restaurant,,,,,indoor,,,
270,book a table for one in a bar serving saucisse for meal in Calistoga  CO,saucisse,,Calistoga,meal,,bar,,,,,,,CO,one
271,Book a bakery at zero o'clock for 5 people.,,,,zero o'clock,,bakery,,,,,,,,5
272,I need a reservation that has spanish rice at a cafeteria with ten people today,spanish rice,,,today,,cafeteria,,,,,,,,ten
273,I want a table for five at a place in Russia on 4/4/2036,,,,4/4/2036,Russia,,,,,,,,,five
274,"Book a reservation for me, marva and barbara at a restaurant with parking",,,,,,restaurant,,,,"me, marva and barbara",parking,,,
275,Find a reservation for a party of six in Tuvalu,,,,,Tuvalu,,,,,,,,,six
276,I need a reservation for The Original House of Pies with three people in Plandome Manor  PA,,,Plandome Manor,,,,The Original House of Pies,,,,,,PA,three
277,I need to book a restaurant  in the same area as Thompsontown for emma and karen johnson,,in the same area,,,,restaurant,,,,emma and karen johnson,,Thompsontown,,
278,book for one in Indiana at a restaurant,,,,,,restaurant,,,,,,,Indiana,one
279,I'd like a table for eight at a close-by place in Carpenterville,,close-by,Carpenterville,,,,,,,,,,,eight
280,Book a tea place at seven,,,,tea,,,,,,,,,,seven
281,book for 2 at a cafe for burgers in Gasport,burgers,,Gasport,,,cafe,,,,,,,,2
282,book a spot at the food truck in MA,,,,,,food truck,,,,,,,MA,
283,Book a table for five at The Training Table .,,,,,,,The Training Table,,,,,,,five
284,I want to book The Hat for my grandfather and I in Arkansas .,,,,,,,The Hat,,,my grandfather and I,,,Arkansas,
285,I'm looking to book a spot at a restaurant in RI .,,,,,,restaurant,,,,,,,RI,
286,I need to book a restaurant for five  in 1 minute that serves chichi in East Prairie,chichi,,East Prairie,in 1 minute,,restaurant,,,,,,,,five
287,"book a restaurant for 2 in Cross Timbers , District Of Columbia",,,Cross Timbers,,,restaurant,,,,,,,District Of Columbia,2
288,Find and book me a taverna restaurant in Gilluly that serves lobster newberg,lobster newberg,,Gilluly,,,taverna restaurant,,,,,,,,
289,I'd like to eat at a highly rated  swiss  restaurant in Irma at two pm,,,Irma,two pm,,restaurant,,highly rated,swiss,,,,,
290,book for 8 for argentinian food at a bakery,,,,,,bakery,,,argentinian,,,,,8
291,Book a popular  bar in Chowchilla,,,Chowchilla,,,bar,,popular,,,,,,
292,Book a table for 2 at a FM  restaurant serving grits for the next meal .,grits,,,meal,,restaurant,,,,,,,FM,2
293,book a spot distant from the neighborhood on the Week-end,,distant,,Week-end,,,,,,,,neighborhood,,
294,I'd like a table for Midday at The Unseen Bean,,,,Midday,,,The Unseen Bean,,,,,,,
295,Find me a table for a cafe during my Guinea trip for one .,,,,,Guinea,,cafe,,,,,,,one
296,I require a reservation for one at the most highly rated  restaurant in Uzbekistan .,,,,,Uzbekistan,restaurant,,highly rated,,,,,,one
297,Book the nearby  Meriton Grand Hotel Tallinn in Missouri .,,nearby,,,,,Meriton Grand Hotel Tallinn,,,,,,Missouri,
298,I need a table at a tavern that has bougatsa,,,,,,tavern,,,bougatsa,,,,,
299,I need to take three people to eat,,,,,,,,,,,,,,three
300,Book a reservation not far from 8th St,,not far,,,,,,,,,,8th St,,
301,Make a restaurant reservation for me and my son at twenty three o'clock .,,,,twenty three o'clock,,restaurant,,,,me and my son,,,,
302,Book a reservation for 2 at a food truck with pool in New York,,,,,,food truck,,,,,pool,,New York,2
303,I need seats for 6 at a place in AK,,,,,,,,,,,,,AK,6
304,Get me a table at The Hand & Flowers for sixteen hours .,,,,sixteen hours,,,The Hand & Flowers,,,,,,,
305,Book osteria restaurant for 1 person in MI .,,,,,,osteria restaurant,,,,,,,MI,1
306,I'm in MI and want to eat somwhere nearby  Midday .,,nearby,,Midday,,,,,,,,,MI,
307,book a spot at the best  brasserie  near  Saudi Arabia,,near,,,Saudi Arabia,brasserie,,best,,,,,,
308,book me a restaurant in Freshwater Bay for ava and I in Alaska,,,Freshwater Bay,,,restaurant,,,,ava and I,,,Alaska,
309,Book a restaurant in Liechtenstein for seven people.,,,,,Liechtenstein,restaurant,,,,,,,,seven
310,book a table at 04:36:28 at the northeast indian  restaurant,,,,04:36:28,,restaurant,,,northeast indian,,,,,
311,Book a cafeteria that serves bagels for six people.,bagels,,,,,cafeteria,,,,,,,,six
312,Book a northeastern brazilian  restaurant for 10 am,,,,10 am,,restaurant,,,northeastern brazilian,,,,,
313,I need a reservation for a restaurant  now with a party of 9 in Hilt,,,Hilt,now,,restaurant,,,,,,,,9
314,I want to eat in 19 hours at NM,,,,in 19 hours,,,,,,,,,NM,
315,book trentino serving bar for 4 ,,,,,,bar,,,trentino,,,,,4
316,I want to book reservations for 8 at an indoor  restaurant .,,,,,,restaurant,,,,,indoor,,,8
317,I want a table for 9 at the taverna  pub,,,,,,pub,,,taverna,,,,,9
318,Book a restaurant  within the same area of Earls Court for lucille and marina .,,within the same area,,,,restaurant,,,,lucille and marina,,Earls Court,,
319,"book for six on jan. 18, 2029",,,,"jan. 18, 2029",,,,,,,,,,six
320,I need to book a table for 7 in Estonia,,,,,Estonia,,,,,,,,,7
321,Book a table for six  around  yolanda's apartment .,,around,,,,,,,,,,yolanda's apartment,,six
322,I'm in Bowling Green . Please book a restaurant for 1  close by .,,close by,,,,restaurant,,,,,,Bowling Green,,1
323,"Book the best  halal  restaurant in Slovakia for brigitte taylor, katelyn and natalie on jun. 2 .",,,,jun. 2,Slovakia,restaurant,,best,halal,"brigitte taylor, katelyn and natalie",,,,
324,book a table for ten in Pollock  PA,,,Pollock,,,,,,,,,,PA,ten
325,book a brasserie,,,,,,brasserie,,,,,,,,
326,"Book a table for 10 people at Harryâs Bar , Benin .",,,,,Benin,,Harryâs Bar,,,,,,,10
327,I need seating for ten people at a bar that serves czech cuisine,,,,,,bar,,,czech,,,,,ten
328,I need a table at a restaurant that serves toast  eleven months from now,toast,,,eleven months from now,,restaurant,,,,,,,,
329,restaurant in Watauga for me and my aunt,,,Watauga,,,restaurant,,,,me and my aunt,,,,
330,book a table for 10 in CHAR No.4 in Colombia,,,,,Colombia,,CHAR No.4,,,,,,,10
331,I need to book a table for claudia and imelda at a brasserie that is top-rated,,,,,,brasserie,,top-rated,,claudia and imelda,,,,
332,I want to eat close by  East Brady for seven people,,close by,,,,,,,,,,East Brady,,seven
333,book a table in Arizona serving italian-american cuisine in a tavern for 2,italian-american cuisine,,,,,tavern,,,,,,,Arizona,2
334,Book a gastropub in Rose Creek for elevenses .,,,Rose Creek,elevenses,,gastropub,,,,,,,,
335,"Book a table for nine people at a brasserie on Jan. 16, 2034",,,,"Jan. 16, 2034",,brasserie,,,,,,,,nine
336,Book a table for 6 at a top-rated  restaurant in North AMityville  MA that serves south tyrolean food,,,North AMityville,,,restaurant,,top-rated,south tyrolean,,,,MA,6
337,book a fried fish serving restaurant for one at 20 hours from now,fried fish,,,20 hours from now,,restaurant,,,,,,,,one
338,"I'd like to book at a place in Michigan for a party of 3 , name of the restaurant is Carter House Inn .",,,,,,,Carter House Inn,,,,,,Michigan,3
339,I need a table for 4 at a restaurant around 0 AM .,,,,0 AM,,restaurant,,,,,,,,4
340,Find a reservation for a highly rated  brasserie for me and my step sister,,,,,,brasserie,,highly rated,,me and my step sister,,,,
341,Book a table for 1 at Thomas Hynes House .,,,,,,,Thomas Hynes House,,,,,,,1
342,"Please book a restaurant in Village Green , CA .",,,Village Green,,,restaurant,,,,,,,CA,
343,I'd like to eat in Montana on 10/22/2030,,,,10/22/2030,,,,,,,,,Montana,
344,book in town for 3 at a restaurant  outdoor that is not far,,not far,,,,restaurant,,,,,outdoor,in town,,3
345,book a brasserie for connie scott and madeline in Northern Mariana Islands  in eleven hours,,,,in eleven hours,,brasserie,,,,connie scott and madeline,,,Northern Mariana Islands,
346,I need reservations in ND in the city of Briarwood for me and my colleagues .,,,Briarwood,,,,,,,me and my colleagues,,,ND,
347,I have a party of 10 that would like to eat outdoor at a tavern .,,,,,,tavern,,,,,outdoor,,,10
348,I want to book a table for two at a close by  bar in Kuwait .,,close by,,,Kuwait,bar,,,,,,,,two
349,book me a reservation at a bar  around  Juliff for three people that serves bucatini for now,bucatini,around,Juliff,now,,bar,,,,,,,,three
350,I'd like to eat at a pub in Arkport,,,Arkport,,,pub,,,,,,,,
351,book an australian  restaurant in Moldova,,,,,Moldova,restaurant,,,australian,,,,,
352,Book an indonesian  brasserie for seven people the day after tomorrow in Hawaii .,,,,the day after tomorrow,,brasserie,,,indonesian,,,,Hawaii,seven
353,book me best  joint restaurant for 2 members at AMerican Samoa  today,,,,today,AMerican Samoa,joint restaurant,,best,,,,,,2
354,I want a table for 9 in Loyola at Gus Stevens Seafood Restaurant & Buccaneer Lounge,,,Loyola,,,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,,,,,,,9
355,Please book a table for four at a restaurant in TN,,,,,,restaurant,,,,,,,TN,four
356,I want to eat at the Trout Creek  restaurant for 9 people for bougatsa that is the best,,,Trout Creek,,,restaurant,,best,bougatsa,,,,,9
357,I want to book a delicatessen serving testaroli in Somalia for 7/25/2027 .,testaroli,,,7/25/2027,Somalia,delicatessen,,,,,,,,
358,Please book me a table for three at an american  gastropub,,,,,,gastropub,,,american,,,,,three
359,Book reservations at a restaurant in Olton around supper time,,,Olton,supper,,,,,,,,,,
360,book now in KY at Loveless Cafe,,,,now,,,Loveless Cafe,,,,,,KY,
361,I'd like to take a party of five  today to a place in Colorado,,,,today,,,,,,,,,Colorado,five
362,Reserve a table for 7 at a cafeteria in Lafe city .,,,Lafe city,,,cafeteria,,,,,,,,7
363,Book a neighboring  coffeehouse with internet in Shingleton .,,neighboring,Shingleton,,,coffeehouse,,,,,internet,,,
364,book a spot for two at Sale Creek at eight AM,,,Sale Creek,eight AM,,,,,,,,,,two
365,charlene and I and are are in Liechtenstein and want restaurant reservations at midnight .,,,,midnight,Liechtenstein,restaurant,,,,charlene and I,,,,
366,Book an outdoor  restaurant in MD at 11 pm for 8 .,,,,11 pm,,restaurant,,,,,outdoor,,MD,8
367,book a pub for pepperoni  near  their house and not far,pepperoni,not far,,,,pub,,,,,,their house,,
368,I need to book a restaurant in Utah in 5 years and a half from now,,,,5 years and a half from now,,restaurant,,,,,,,Utah,
369,Book a reservation for seven people at a bakery in Osage City,,,Osage City,,,bakery,,,,,,,,seven
370,"I would like to book a restaurant  in the same area as Tremont Av for nadine, sherrie and I on 3/21/2018",,in the same area,,3/21/2018,,restaurant,,,,"nadine, sherrie and I",,Tremont Av,,
371,Find a restaurant for marylou and I  within walking distance of my mum's hotel,,within walking distance,,,,restaurant,,,,marylou and I,,my mum's hotel,,
372,Book the City Tavern in Holiday  KS .,,,Holiday,,,,City Tavern,,,,,,KS,
373,"book a english  pub for me, belinda and dena  close-by  Syria  next dec .",,close-by,,next dec,Syria,pub,,,english,"me, belinda and dena",,,,
374,"book a spot for 8 at a tavern on Jun. the 11th, 2034",,,,"Jun. the 11th, 2034",,tavern,,,,,,,,8
375,I need a reservation for 4 in Illinois,,,,,,,,,,,,,Illinois,4
376,I want a table for four for 2 years from now,,,,2 years from now,,,,,,,,,,four
377,book a table in Alberton for me and my mother in law at a restaurant,,,Alberton,,,restaurant,,,,me and my mother in law,,,,
378,Book a table for 8 people at Robinson House .,,,,,,,Robinson House,,,,,,,8
379,Book a table for one at a highly rated  bistro,,,,,,bistro,,highly rated,,,,,,one
380,Book a restaurant for august fourth  not far from the Marshall Islands .,,not far,,august fourth,Marshall Islands,restaurant,,,,,,,,
381,book a highly rated place for 8 at a restaurant,,,,,,restaurant,,highly rated,,,,,,8
382,book a table in Cottondale  not far for in two hundred sixty nine days ,,not far,Cottondale,in two hundred sixty nine days,,,,,,,,,,
383,"Please reserve a table at the food truck in Wheeler for december 4th, 2019",,,Wheeler,"december 4th, 2019",,food truck,,,,,,,,
384,I need a table for six at a bar that serves varenyky,,,,,,bar,,,varenyky,,,,,six
385,Book a restaurant in Pinecliffe  Missouri  this month .,,,Pinecliffe,this month,,restaurant,,,,,,,Missouri,
386,I want to book a restaurant for four people in Eminence .,,,Eminence,,,restaurant,,,,,,,,four
387,Book Coney Island  neighboring  VA for marina and I .,,neighboring,,,,,Coney Island,,,marina and I,,,VA,
388,I need a reservation for a restaurant  close by  their hostel ,,close by,,,,restaurant,,,,,,their hostel,,
389,book a table for 10 at a restaurant in Federated States Of Micronesia ,,,,,,restaurant,,,,,,,Federated States Of Micronesia,10
390,Please book me a reservation this year for a restaurant  within the same area of my office,,within the same area,,this year,,restaurant,,,,,,my office,,
391,book The Fry Bread House for seven in Olive,,,Olive,,,,The Fry Bread House,,,,,,,seven
392,I need a table for 4 at The Brass Rail .,,,,,,,The Brass Rail,,,,,,,4
393,Book a table in eastern european  restaurant in Macedonia .,,,,,Macedonia,restaurant,,,eastern european,,,,,
394,Need a table for a party of eight  one hour from now in Exira  SD in a pub that serves oysters rockefeller,oysters rockefeller,,Exira,one hour from now,,pub,,,,,,,SD,eight
395,Book a restaurant in Eleele on October the fifth for 3 people.,,,Eleele,October the fifth,,restaurant,,,,,,,,3
396,"Book a table at Top Pot Doughnuts in Greensburg , AMerican Samoa",,,Greensburg,,,,Top Pot Doughnuts,,,,,,AMerican Samoa,
397,book me a table at a bistro that serves maple syrup for a party of 10,maple syrup,,,,,bistro,,,,,,,,10
398,Looking for a tibetan  restaurant and need reservations for 1 .,,,,,,restaurant,,,tibetan,,,,,1
399,Reserve a table for my bf and I at Montreal Pool Room in Indiahoma,,,Indiahoma,,,,Montreal Pool Room,,,my bf and I,,,,
400,book a spot for me and sonja at a popular  pizzeria,,,,,,pizzeria,,popular,,me and sonja,,,,
401,courtney and ruby want to eat at a restaurant  three years from now,,,,three years from now,,restaurant,,,,courtney and ruby,,,,
402,Find a reservation far from my work location  in eight hours for 8 people at Union Auto Company,,far,,in eight hours,,,Union Auto Company,,,,,my work location,,8
403,Book a table at a restaurant which serves sushis  next week ,sushis,,,next week,,restaurant,,,,,,,,
404,"I need to book the Beardslee Castle in Albania for me, cassie and lesley",,,,,Albania,,Beardslee Castle,,,"me, cassie and lesley",,,,
405,I'd like to eat a restaurant in or nearby  Pelahatchie at 12 o'clock,,nearby,Pelahatchie,12 o'clock,,restaurant,,,,,,,,
406,Book a bar that serves stracciatella in North Dakota for four at four am,stracciatella,,,four am,,bar,,,,,,,North Dakota,four
407,I want to get nine seats at a restaurant that serves ice cream cake .,ice cream cake,,,,,restaurant,,,,,,,,nine
408,Make me a reservation somewhere near here for me and my step brother by adeline's apartment,,near,,,,,,,,me and my step brother,,adeline's apartment,,
409,Book a table for two at a restaurant  faraway from office in California .,,faraway,,,,restaurant,,,,,,office,California,two
410,"Book a table for four in Orchard Grass Hills , NV",,,Orchard Grass Hills,,,,,,,,,,NV,four
